ID,Source,Target,Match,Comment
SHIZNVRkbaS9wJZp_dc8:0,Positive Habits創出への取組み,Initiatives to Create Positive Habits,72,
SHIZNVRkbaS9wJZp_dc8:1,ライオンはメーカーとして製品提供に留まらない人々のより良い習慣づくりで事業を拡大してきました。,Lion does more than supply the products it manufactures—we have expanded our business by helping people build better habits.,,
SHIZNVRkbaS9wJZp_dc8:2,長年の生活者研究で得た知見をもとに、今後も人々の毎日をより良くするPositive Habitsを生み出すための仕組みづくりに注力していきます。,"Drawing on insights gained through years of consumer research, we will continue to focus on developing mechanisms that create Positive Habits to improve people’s everyday lives.",,
SHIZNVRkbaS9wJZp_dc8:3,Positive Habits創出の意義,The Significance of Creating Positive Habits,72,
SHIZNVRkbaS9wJZp_dc8:4,ライオンは、長年、日々の生活に寄り添う製品の提供を通して歯磨き習慣、手洗い習慣などの今では当たり前になった習慣を提案し、時代ごとの社会課題を解決しながら人々の生活に貢献してまいりました。,"For many years, Lion has contributed to people’s daily lives and addressed evolving social issues by proposing habits, such as tooth brushing and hand washing, that are now taken for granted, through the provision of products closely integrated into everyday routines.",,
SHIZNVRkbaS9wJZp_dc8:5,この活動の中で培ってきた生活者研究からライオンが辿り着いた“習慣づくり”の考え方がＰｏｓｉｔｉｖｅ　Habitsです。,"From the consumer research we have conducted in the course of these activities, we developed our own approach to habit formation, which we call Positive Habits.",,
SHIZNVRkbaS9wJZp_dc8:6,毎日の生活には、様々な気が進まないやるべきことが存在しており、その中のいくつかは、毎日繰り返す「Reluctant Habits（気が進まない習慣）」になっていることを発見しました。,"Through this research, we found that daily life includes many tasks people perform reluctantly out of necessity, some of which become Reluctant Habits repeated over time.",,
SHIZNVRkbaS9wJZp_dc8:7,この気が進まない「Reluctant Habits」を前向きな習慣に変えることを徹底的に考え、製品・サービスを通じてお客様、そして社会に提案していくこと、それがライオンの目指すPositive Habits（前向きな習慣）です。,Lion is committed to turning these Reluctant Habits into Positive Habits by offering solutions through its products and services that make everyday routines more positive for customers and society.,,
SHIZNVRkbaS9wJZp_dc8:8,近年成熟化が進んだ一般消費財市場において、未だ解消されていない「Reluctant Habits」に目を向け、新たな競争軸（ユニークネス）を生み出し、当社ならではの価値をいち早く提案しながら磨き込むことで競争優位性を持つ新たな市場を創出してまいります。,"In today’s mature consumer goods markets, we will focus on unresolved Reluctant Habits as a source of unique new axes of competition, swiftly proposing and refining value that only Lion can deliver to create new markets in which we will hold a competitive advantage.",,
SHIZNVRkbaS9wJZp_dc8:9:0,Reluctant Habits,Reluctant Habits,,
